순위,학교 이름 (School Name),지역,비고
1,Carnegie Mellon University,"Pittsburgh, PA ",(tie)
1,Massachusetts Institute of Technology,"Cambridge, MA ",(tie)
1,Stanford University,"Stanford, CA ",(tie)
4,University of California--Berkeley,"Berkeley, CA ",
5,University of Illinois--Urbana-Champaign,"Urbana, IL ",
6,Princeton University,-,
7,Cornell University,"Ithaca, NY ",(tie)
7,Georgia Institute of Technology,-,(tie)
7,University of Washington,"Seattle, WA ",(tie)
10,University of Texas--Austin,"Austin, TX ",
11,University of Michigan--Ann Arbor,"Ann Arbor, MI ",
12,California Institute of Technology,"Pasadena, CA ",(tie)
12,University of California--San Diego,"La Jolla, CA ",(tie)
12,University of Maryland--College Park,"College Park, MD ",(tie)
15,Columbia University,-,(tie)
15,Purdue University--West Lafayette,"West Lafayette, IN ",(tie)
15,University of California--Los Angeles,-,(tie)
15,University of Wisconsin--Madison,"Madison, WI ",(tie)
19,Harvard University,-,(tie)
19,University of Pennsylvania,"Philadelphia, PA ",(tie)
21,Johns Hopkins University,"Baltimore, MD ",(tie)
21,University of Chicago,-,(tie)
21,University of Southern California,-,(tie)
21,Yale University,"New Haven, CT ",(tie)
25,Duke University,-,(tie)
25,University of Massachusetts--Amherst,"Amherst, MA ",(tie)
27,Brown University,"Providence, RI ",(tie)
27,New York University,-,(tie)
27,Northwestern University,-,(tie)
27,Rice University,"Houston, TX ",(tie)
27,University of California--Irvine,"Irvine, CA ",(tie)
27,University of California--Santa Barbara,"Santa Barbara, CA ",(tie)
27,University of North Carolina--Chapel Hill,"Chapel Hill, NC ",(tie)
34,Northeastern University,"Boston, MA ",(tie)
34,University of Colorado--Boulder,"Boulder, CO ",(tie)
34,University of Virginia,-,(tie)
34,Virginia Tech,"Blacksburg, VA ",(tie)
38,Ohio State University,"Columbus, OH ",(tie)
38,Pennsylvania State University--University Park,"University Park, PA ",(tie)
38,Texas A&M University--College Station,"College Station, TX ",(tie)
38,University of California--Davis,"Davis, CA ",(tie)
38,University of Minnesota--Twin Cities,"Minneapolis, MN ",(tie)
43,Arizona State University,"Tempe, AZ ",(tie)
43,Rutgers University--New Brunswick,"Piscataway, NJ ",(tie)
43,Stony Brook University--SUNY,"Stony Brook, NY ",(tie)
46,Boston University,-,(tie)
46,North Carolina State University,-,(tie)
46,University of Utah,-,(tie)
46,Vanderbilt University,"Nashville, TN ",(tie)
46,Washington University in St. Louis,"St. Louis, MO ",(tie)
51,Dartmouth College,-,(tie)
51,Indiana University--Bloomington,-,(tie)
51,University of California--Santa Cruz,"Santa Cruz, CA ",(tie)
51,University of Florida,"Gainesville, FL ",(tie)
51,University of Pittsburgh,"Pittsburgh, PA ",(tie)
56,Michigan State University,"East Lansing, MI ",(tie)
56,Tufts University,"Medford, MA ",(tie)
56,University of Notre Dame,-,(tie)
59,Iowa State University,"Ames, IA ",(tie)
59,University of Arizona,"Tucson, AZ ",(tie)
59,University of California--Riverside,-,(tie)
59,University of Illinois Chicago,-,(tie)
59,University of Rochester,Rochester,(tie)
59,University of Texas--Dallas,"Richardson, TX ",(tie)
65,George Mason University,"Fairfax, VA ",(tie)
65,Toyota Technological Institute at Chicago,-,(tie)
65,University at Buffalo--SUNY,"Buffalo, NY ",(tie)
65,University of Central Florida,-,(tie)
69,Emory University,"Atlanta, GA ",(tie)
69,George Washington University,"Washington, DC ",(tie)
69,Oregon State University,"Corvallis, OR ",(tie)
69,Rensselaer Polytechnic Institute,-,(tie)
69,University of Delaware,"Newark, DE ",(tie)
69,University of Iowa,"Iowa City, IA ",(tie)
69,William & Mary,"Williamsburg, VA ",(tie)
76,Case Western Reserve University,-,(tie)
76,Georgetown University,-,(tie)
76,Rochester Institute of Technology,-,(tie)
76,Syracuse University,"Syracuse, NY ",(tie)
76,University of Georgia,"Athens, GA ",(tie)
76,University of Nebraska--Lincoln,-,(tie)
76,University of Tennessee--Knoxville,"Knoxville, TN ",(tie)
76,Clemson University,"Clemson, SC ",(tie)
83,Colorado School of Mines,"Golden, CO ",(tie)
83,"University of Maryland, Baltimore County ","Baltimore, MD ",(tie)
83,University of Oregon,"Eugene, Or ",(tie)
83,University of South Florida,"Tampa, FL ",(tie)
88,Auburn University,"Auburn, AL ",(tie)
88,Florida State University,"Tallahassee, FL ",(tie)
88,Lehigh University,-,(tie)
